,user,txt
0,K000TGNRK0RYTHFlYXlySkFPd3lJdz09,처음 바를때는 따가웠는데 자고일어나도 유분기 없이 보송하게되어서좋고 대용량이라 더 좋아용
1,K01rTk5mU3I1WWN5SmcrSHMveVFVdz09,엄마 선물로 사드렸는데 보습력도 좋고 향도 만족한다며 좋아하시네요 가격도 용량 대비 괜찮은 거 같애요 엄마 선물로 샀어요 매장에서 대 여자 건성 주름 관리에 좋은 거 추천해 달라 했더니 이걸 제일 많이 추천해 주셨고 잘 나간다고 하셨어요 실제로 엄마가 써보시고 좋다고 하시네요 가격대도 괜찮네요
2,K09aUDdkaDQwMjBJeTBUTG8rdnBnQT09,트러블이 자주 나는 피부인 친구에게 선물하려고 샀어요 올인원제품이라서 사용이 편할거같네요
3,K0E1dFFFTFc4UjNlZjF1S2VqRVRIUT09,항상 여드름 스팟용만 사고 스킨 로션은 아무거나 사서 썼는데 후회 했어요 얼굴 유수분 밸런스도 훨씬 잘 맞아지고 트러블 나는 빈도도 훨씬 줄었어요 진짜 만족스럽습니다 가격도 합리적인 선이고 미니사이즈도 줘서 여행 갈때나 운동 갈때도 가지고 가기 딱입니다 단점은 에멀전 바르는게 불편해요 펌프거나 튜브타입이 좋은데
4,K0FzNHYwcUhlLzIxUHRUQm9xVitTdz09,신랑이 꾸준히 사용하는 미프 올인원로션이에요 가성비 넘치는 구성이라 이낌없이 팍팍 사용해도 부담없는 알찬구성이에요 넘 좋습니다 끈적임 없어 기초제품 꾸준히 못쓰는 신랑도 미프는 잘 쓰더라구요 보습도 좋아 찬바람 부는 요즘날씨에 피부관리에 최적입니다 자극없이 순하고 복합성 피부가 무난하게 사용하기 좋습니다 여름철까지 잘 쓰겠어요
5,K0NZZWdNWXB2cG92eW5uelRTZEpadz09,순하게 쓰기 좋은 것 같아요 용량도 많아서 스킨팩 하기에도 괜찮고 닦토 물토로 다 써도 됩니다 다만 세일을 자주 하진 않아서 세일할 때 쟁여야지 아니면 계속 원가 주고 구매하더라고요피부 타입 지성 여드름 기초템 정착 못하고 있었는데 토너는 아누아 거로 계속 써도 좋을 것 같아요 진정 효과가 있어서 바르면 자극 없이 잘 흡수되는 것 같아요 저는 이 제품 쓰고 피부가 더 뒤집어지거나 하는 건 없었어서 여드름 피부분들이 쓰셔도 적합할 것 갘습니다 용량 많아서 스킨팩하기도 좋아요
6,K0RETzBMYThDSXM5dHcyMHh2TDNGUT09,과도한 피지와 각질을 정돈해주며 피부 진정을 돕는 저자극 토너 사용법 세안 후 화장솜 또는 손바닥에 적당량을 덜어내어 부드 럽게 펴 바릅니다 쇼듐헤파린 자극 받은 피부 장벽 케어에 도움 판테놀 높른 보습 효과와 진정 효과 부여 알란토인 거칠어진 피부에 수분 진정 효과 부여 쑥잎추출물 탄탄하고 건강한 피부 케어에 도움 디 파 님이 추천토너라 궁금했었고 요즘 얼굴이 난리브루스라 볼쪽이 난리난리 그리고 볼에 열감이 있어서 진정 좀 시키고 싶었는데 이렇게 사용해볼 기회가 생겼네요 올영에서 파는 필리밀리 화장솜에 사용해봤는데 일단 토너를 화장솜에 충분히 적신 후 얼굴에 촵촵 올려놓고 분 정도 진정시켜놨어요 토너가 무겁지 않고 가벼워서 흡수도 잘되고 진정에도 좋네요 파티온 토너사용해보니까 세럼도 구매하고싶은 암튼 꾸준히 사용해보고 한 통 다 사용하고나서 만족스러우면 재구매 갑니닷 사용할 때의 주의사항 화장품 사용 시 또는 사용 후 직사 광선에 의하여 사용부위가 붉은 반점 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담힐 것 상처가 있는 부위 등에는 사용을 자제할 것
7,K0VNUXNqUmQ2dTZKZlhDUHBhK3Z0UT09,남친 선물로 사줬는데 피부가 확연히 좋아졌다며 정말 만족하더라고요 끈적이는 거 싫어해서 제가 직접 매장에서 일일히 테스트 해보고 사준건데 정말 뿌듯했어요
8,K0ZDbG9XbHJBMm1XZWJJdU5sNVpvdz09,어머니 화장품이 떨어져서 매장에서 구매했어요 쓰시던 제품은 단종 됐는지 안보여서 대체품으로 사게 됐는데 좋다고 하시네요 포장이 좀 약해서 대형 에어캡도 터지고 내용물 박스도 찍혀 왔네요 나머진 만족합니다 쓰던 제품인데 다 떨어져가서 재구매 합니다 자극없이 순하고 무엇보다 여름에 쓰기 좋은 것 같아요 사용하던 토너가 다 떨어져가서 재구매 합니다 부드럽게 발려서 자극없이 순해요
9,K0dpanVQdHVOUWxEa1c2SEtadDUvUT09,마스크때매 얼굴이 건조해져서 구매했는데 보습력도 너무 좋아서 잘 사용하고 있어요
10,K0hSTFQ5MWtBYjB2bkd3NDFVQW1yQT09,약산성토너인데다가 대용량이라서 너무 좋아요 갈락토미토너를 썼었는데 비피다가 더 자극없이 순해요
11,K0lIWmE5Ly9haGR1S0hjVlJQdHdEUT09,여름이 다가오면서 몸 관리도 해야할 것 같아서 샤워하고 묨에 바르고 있어요
12,K0s3T2I5Qm9WSnl5SDVHcG1va1JKUT09,이거 너무 좋아요 진짜 순한 거 찾는 사람들 민감하고 예민한 피부 가진 사람들 제발 이거 써보세요 근데 가을 겨울엔 보습 좀 부족해서 다른 꾸덕한 크림 더 발라주긴 한데 봄 여름에 이만한 제품 없음 뾰루지 안뇽최애 진짜 자극 없고 순한 제품 찾는 사람들 다 여기 모이세요 이제 다가올 여름에도 가볍고 너무 좋다구요 저 지금 몇 번째 구매하는지 몰라요 가성비 갑 비싸도 살 거예요
13,K1J5U0ZYWFhTcUE3NUV4eFRJc1Q3QT09,촉촉하고 순하고 너무 좋아욥 양도 짱짱 많습니다 챱챱 두번 발라주면 속까지 수분 채워지는 느낌 촉촉하고 순하고 좋아요 겨울에 살짝 당기는 느낌이있어서 스킨 바꿔봤는데 좋습니다
14,K1NBL3RvVTZPL2UzNmdXbXY1UzlzUT09,닦토로 쓰지만 느낌이너무좋아요 오일리하지않고 촉촉해요
