,0
0,사이클로펜타실록세인
1,부틸렌글라이콜
2,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머
3,병풀추출물
4,카프릴릭/카프릭트라이글리세라이드
5,나이아신아마이드
6,시트릭애씨드
7,폴리글리세릴-10라우레이트
8,하이알루로닉애씨드
9,알지닌
10,에틸헥실글리세린
11,하이드로제네이티드레시틴
12,다이포타슘글리시리제이트
13,스쿠알란
14,하이드록시프로필트라이모늄하이알루로네이트
15,마트리카리아꽃추출물
16,아시아티코사이드
17,잔탄검
18,실리카
19,하이드롤라이즈드소듐하이알루로네이트
20,로즈마리잎오일
21,베타인
22,글루코오스
23,소듐아세틸레이티드하이알루로네이트
24,다이메티콘
25,제라니올
26,글리세릴스테아레이트
27,락토바실러스발효물
28,녹차추출물
29,팔미틱애씨드
30,펜틸렌글라이콜
31,마데카식애씨드
32,소듐하이드록사이드
33,황금추출물
34,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머
35,"1,2-헥산다이올"
36,당느릅나무뿌리추출물
37,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머
38,소듐하이알루로네이트
39,트레할로오스
40,변성알코올
41,솔비탄올리베이트
42,에탄올
43,아데노신
44,판테놀
45,시트로넬올
46,페녹시에탄올
47,세테아릴올리베이트
48,프로판다이올
49,베르가모트오일
50,마데카소사이드
51,스테아릭애씨드
52,알란토인
53,레시틴
54,메틸프로판다이올
55,덱스트린
56,쇠비름추출물
57,세라마이드엔피
58,소듐하이알루로네이트크로스폴리머
59,하이드로제네이티드폴리(C6-14올레핀)
60,다이소듐이디티에이
61,트로메타민
62,시트랄
63,글리세레스-26
64,글리세릴카프릴레이트
65,베타-글루칸
66,소듐시트레이트
67,하이드록시아세토페논
68,카보머
69,살리실릭애씨드
70,콜레스테롤
71,자일리톨
72,리날룰
73,토코페롤
74,다이프로필렌글라이콜
75,하이드롤라이즈드하이알루로닉애씨드
76,글루코노락톤
77,글리세린
78,벤질살리실레이트
79,세테아릴알코올
80,카프릴릴글라이콜
81,사탕수수추출물
82,무화과추출물
83,아시아틱애씨드
84,해수
85,솔비탄아이소스테아레이트
86,프룩토올리고사카라이드
87,트라이소듐이디티에이
88,리모넨
89,시어버터
90,향료
