리뷰자,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
K000TGNRK0RYTHFlYXlySkFPd3lJdz09,0.3771517,-0.270439,-0.07135393,-0.16187535,-0.1734588,-0.0047936924,0.0895559,-0.058650944,0.3066686,-0.12534475,-0.09308288,-0.22938387,0.03391728,0.07163701,-0.15918072,-0.018063536,-0.123794734,-0.061419908,-0.02339908,-0.02174838,0.07316816,0.11404649,-0.06902792,-0.016591765,0.17383735,0.028668439,-0.104523145,0.050298396,-0.13955645,0.15131441,0.014984962,-0.061018173,0.11662519,-0.11495338,0.07225661,-0.24484038,-0.034376446,-0.05576669,-0.026673766,0.2266139,-0.058197092,-0.26197594,-0.2557483,-0.013255827,-0.07077568,-0.09965401,-0.03442473,0.12532079,-0.10330075,-0.37660345,-0.05211608,-0.22389518,0.08498023,-0.17646484,-0.03260672,-0.24576741,-0.060041115,0.21634912,0.18124245,0.1734373,-0.066775225,0.04199633,0.09829459,0.011172398,-0.116254635,-0.21084964,-0.016041655,-0.29725802,0.16098408,0.16982134,-0.06068344,0.24740791,0.11840334,0.15788563,-0.2676832,-0.26437604,0.34877583,0.17518498,-0.08062867,0.074254625,-0.29558054,-0.14883518,0.10777498,-0.42559233,-0.10439723,-0.09868506,0.3837435,-0.17510647,0.100768864,-0.20755048,-0.079514526,0.057651505,-0.08367726,0.0045558154,0.068038836,-0.18879168,0.06937565,0.13346806,0.39796782,0.08044154
K01rTk5mU3I1WWN5SmcrSHMveVFVdz09,0.064668305,-1.0713259,-1.233036,-0.20344073,0.17594558,-0.78178036,1.2039307,-0.31874704,1.3339677,-0.6864336,-0.425447,-0.33227566,-1.1808901,0.48298544,-0.71997446,0.31898075,0.29609197,-0.024683615,-0.5850104,1.085979,0.63781774,1.4166838,0.0993733,0.30227104,-0.00993442,0.7119561,0.3325241,0.7944911,-0.6243466,0.69633645,-0.36228377,-0.46708846,0.9703888,-1.1573416,0.5070764,-1.2410105,0.56225693,0.38414073,-0.010399112,0.18647376,-0.25937968,-0.2855373,-0.36377504,0.46739328,-0.044984378,-0.04784625,0.4343992,1.194659,0.9660814,-1.8963795,0.44516912,-0.35167846,-0.6387533,0.23390271,-0.7444748,0.097978815,0.6291257,1.3469021,0.6396841,1.0717082,-1.0845559,0.6162721,-0.0013094587,0.376419,-0.95963025,-0.4968885,0.830941,-0.65960926,1.0871861,0.93437016,-0.053327825,1.3394617,0.15045677,0.25147915,0.6385581,-0.3994896,0.8334062,-0.18027234,-0.9628781,-0.5432861,-1.473258,-0.72825366,0.89423794,-1.5113038,0.01837947,0.38311818,1.1878808,-0.82517856,-1.0847222,-0.20436549,-1.2168452,-0.065093316,0.4099676,-0.9639696,0.6388469,-0.9760261,-0.41293344,1.1001184,1.4639955,-0.52178854
K09aUDdkaDQwMjBJeTBUTG8rdnBnQT09,0.8017492,-0.91335046,-0.032670498,-0.9763431,-0.18228222,-0.4048096,1.1673923,-0.2772224,1.4577143,0.10815943,-1.0179929,-1.2863775,1.0884886,-0.17811699,-0.7428164,0.9792617,-0.019982932,-1.759832,-0.14688559,-0.32256776,1.2007409,1.1792467,-0.7661164,-0.8908696,0.8079359,-1.2100059,-0.5388606,-0.37325096,-1.3085519,1.7077438,-1.1048592,-0.9418805,1.4000466,-1.1865461,1.3869385,-2.199006,-0.83081216,-0.8496843,0.49059662,0.15647133,0.21419223,-1.3770658,-1.7635711,0.31483603,-1.0944237,0.37328967,0.22759396,0.9725068,-0.09215993,-1.8073264,-0.45792773,0.79655594,0.53122675,-0.5015766,-0.32695743,-1.7769169,0.75876385,0.86600375,2.2461703,0.97208744,-0.3286143,-1.0551183,-0.109133355,1.0923607,0.009847463,-0.6070299,0.66462666,-0.254002,1.5655195,1.5696499,-1.217269,-0.16606604,0.71922946,1.1093525,-1.6280711,-0.55783385,0.89125764,0.9693674,-0.8553305,0.25517386,-0.8732158,-0.6807275,-0.29818368,-0.9268783,0.5999367,-1.0098243,1.2647134,-1.9106277,0.68450993,-1.8034374,0.5088339,-0.046787124,-0.40612423,-1.117772,0.7225806,-1.3750259,0.730919,0.9111488,1.8467003,0.67649853
K0E1dFFFTFc4UjNlZjF1S2VqRVRIUT09,0.85701597,-0.3240939,0.24024239,-0.33362705,-0.630779,0.2645665,0.1632515,-0.03741101,1.1931614,-0.26950958,0.048015825,-0.741425,0.09243009,-0.0915445,-0.1651754,-0.0021681725,0.3368581,0.118868485,0.027257472,0.43321186,0.7752696,0.5708336,-0.47289476,0.02985102,0.42942277,0.1456995,0.027482402,-0.2293233,-0.60717803,0.2174691,0.441406,0.21478447,0.0010543708,-0.32857984,0.02410926,-0.2699944,-0.35446757,0.09116152,-0.14344326,0.35842028,0.3164099,-0.054690193,-0.1652421,0.2819873,-0.17692675,-0.08329965,0.030851325,0.43621016,0.024714569,-0.7607655,-0.1617591,0.04176583,-0.381236,-0.35241595,0.1643474,-0.8082676,-0.3650639,0.40039515,0.7016864,0.12755938,-0.17509298,-0.17035148,0.31917557,-0.13616219,-0.32148054,-0.36717,-0.2950094,0.15263407,0.055372328,0.7751358,0.043345593,0.6456614,0.36977848,0.037552632,0.058504097,0.021605477,0.4746737,-0.0142091755,-0.3314914,-0.14342529,-0.47896633,-0.18190679,0.17956948,-0.6186098,-0.29397362,-0.680199,0.48899913,0.022091074,0.3425022,0.21383493,-0.08252001,0.4818503,0.10534507,-0.5126189,0.14710367,-0.091005825,0.13674335,0.008038431,1.030235,-0.010451204
K0FzNHYwcUhlLzIxUHRUQm9xVitTdz09,0.7530194,-0.42255762,-0.28663555,-0.36992887,0.042121813,-0.016723784,-0.0915783,-0.002491489,0.650301,0.14886694,-0.07252396,-0.61580503,0.18882184,0.08913772,-0.48505962,0.29231516,-0.6730359,-0.4082788,0.055014603,-0.100498654,0.517623,0.19345047,-0.5073395,-0.3069544,0.16491148,-0.2949979,-0.40972346,-0.18422951,-0.64225686,0.34558973,-0.0009786431,-0.5273674,0.30798447,-0.2734495,0.04653795,-0.2867648,-0.31340888,-0.3388157,-0.05718801,0.82368225,-0.5076593,-0.06651048,-0.10196693,-0.06439801,-0.34092554,-0.0016547125,-0.1051812,0.20298573,-0.20985241,-0.656371,-0.3227134,0.068399444,-0.12631892,-0.16050237,0.042645935,-0.8745132,0.1879127,0.093266115,0.04057972,0.33655575,-0.19195355,0.55843925,-0.5556028,0.07017176,-0.3426209,-0.044838093,0.11208584,-0.28943893,0.46780407,0.40148315,-0.019484788,0.5412818,0.47509164,-0.106212,-0.4388354,-0.32490465,0.18904339,0.13406299,-0.4168901,0.5766331,-0.3865533,-0.852401,0.076478824,0.09505844,-0.30507514,0.031198427,0.7289792,-0.031543456,0.6333505,-0.32201424,0.23058617,0.05683963,0.019034274,0.047401454,0.005368797,-0.64273804,0.13217735,0.15939468,0.44334942,-0.22859219
K0NZZWdNWXB2cG92eW5uelRTZEpadz09,0.21314308,-0.66754615,-0.27115068,-0.4851657,0.116235204,-0.0125862835,-0.059791412,0.19870107,0.34609455,-0.08065796,0.062427785,-0.47089034,0.28513196,0.40041143,0.09566494,-0.18690231,-0.5917544,-0.08662484,0.04762997,-0.13976483,0.40780368,0.5202831,-0.2315803,0.018711362,0.35906038,0.2570207,-0.38248658,0.3327016,-0.06727208,0.2478476,0.3496407,-0.5331191,0.20258042,-0.020958215,0.11234648,-0.18473509,-0.101467535,-0.39055875,0.030572385,0.6844181,-0.7116713,-0.14964685,-0.19623838,-0.34607986,-0.21337375,0.1282533,-0.1863139,-0.15518887,0.23462929,-0.5299935,0.033167586,-0.8485092,-0.15292048,-0.33636984,-0.18049835,-0.72518474,0.28552005,-0.037049953,0.05270344,0.9496146,-0.4988765,0.643407,0.1274006,0.29923585,0.09604006,-0.36208922,0.055395525,-0.4374314,0.23736084,0.23797739,-0.11358603,0.37569562,0.08426516,0.19336353,-0.42110753,-0.3835443,0.61403286,0.14720888,-0.32999924,0.5255224,-0.1753804,-0.8530304,-0.050594304,-0.5379113,-0.23699787,-0.034318715,0.8310257,-0.42045322,0.13047367,-0.05601455,-0.34224963,0.2223978,0.3796456,0.07749487,-0.03744467,-0.41222316,0.23569688,0.21573043,0.5277847,-0.031109467
K0RETzBMYThDSXM5dHcyMHh2TDNGUT09,0.14073369,-0.07844679,-0.048658412,-0.0701503,-0.04130968,-0.02009795,0.044736847,-0.0043963753,0.19059056,-0.0020083734,-0.003906935,-0.123834714,0.019184265,0.03608947,-0.027267165,-0.019971889,-0.004376659,-0.025713794,0.011699373,-0.038432546,0.06359011,0.031162672,-0.034674816,-0.054878008,0.038463537,0.00037468225,-0.0126497,-0.018032108,-0.097649485,0.08136498,-0.00087231956,-0.07843804,0.12525049,-0.03591992,0.020683996,-0.092546165,-0.048313573,-0.09260281,0.007869643,0.04338798,-0.08497715,-0.06338519,-0.0870453,-0.028180024,-0.08046033,-0.048679706,-0.045607574,0.023179641,0.0064023137,-0.14454702,-0.013962243,-0.057265464,-0.0071774162,-0.04827522,0.017218933,-0.096854925,0.06332496,0.060917236,0.10605006,0.08477538,-0.118231006,0.03284957,0.0024339352,0.020381268,0.021265041,-0.041173335,-0.0176352,-0.0661557,0.10978602,0.08811184,0.025524044,0.09326605,0.021892132,0.07023477,-0.13290183,-0.08283487,0.12830399,0.043253742,-0.12620194,0.033096496,-0.060410842,-0.07766227,0.001972829,-0.1478453,-0.06198366,-0.007572214,0.16514648,-0.121939376,0.037961,-0.0029282654,-0.032700308,0.08798209,-0.027355872,-0.060849838,-0.03536164,-0.06556235,0.06055259,0.02950408,0.12113551,0.010821306
K0VNUXNqUmQ2dTZKZlhDUHBhK3Z0UT09,0.3002188,-0.50921655,-0.28125054,0.42439345,0.5027722,0.27452558,0.06009212,-0.537746,-0.10441147,0.20657086,0.3301478,-0.2821663,-0.054876946,0.09791369,-0.24329036,0.0321054,-0.36813653,-0.27603468,0.050890848,0.4916607,0.14573751,0.10488988,-0.8337492,0.29691523,0.5164083,0.4660625,-0.15550813,-0.21376267,-0.053996734,-0.19482554,0.31757346,-0.56265324,-0.43233925,-0.7654267,0.1231297,-0.41634008,-0.07035057,-0.20770293,-0.17565514,0.24059898,-0.39833626,-0.48314184,-0.09398176,-0.13081434,-0.40095204,-0.20820768,-0.14352548,0.5792326,-0.34720874,-1.1829091,0.597879,0.053059366,-0.15802109,-0.12195253,0.37235782,-0.4950853,0.01738281,0.096808344,-0.03149072,0.53535426,-0.5480374,0.061341517,-0.20816943,0.27453065,-0.6319567,-0.0034447648,0.3101498,-0.70076364,0.25263777,-0.58490366,-0.52609366,0.120965146,0.19912736,0.15796712,-0.52617323,-0.2841255,0.4185775,0.36496896,-0.027162256,0.05219597,-0.814231,-0.7509264,0.4381351,-0.93803895,0.06769049,0.23379168,0.6417076,-0.84105283,0.09382295,-0.2804711,-0.2241599,0.59013695,0.11239293,-0.45616946,-0.029490381,-0.19802828,0.30322704,0.1907508,0.28786337,-0.47360688
K0ZDbG9XbHJBMm1XZWJJdU5sNVpvdz09,0.41086292,-0.5361054,-0.11392421,-0.11627012,0.2090717,-0.13848083,-0.011942044,-0.099127285,0.2820763,-0.1037014,-0.17911348,-0.4772573,0.19398646,0.29996708,-0.17376131,-0.16552925,-0.26619875,-0.06749909,0.1620794,0.25936243,0.04594073,0.19201757,-0.16604297,0.18106328,0.32536545,0.19726035,-0.18334417,0.092104346,-0.2836347,0.0868474,0.24980801,-0.16907011,0.20276998,-0.24697576,0.003584923,-0.14762983,0.07866875,-0.13218753,0.12451649,0.32172668,-0.47617832,-0.31062254,-0.24013203,0.017013146,-0.39035785,0.096596524,0.0026012957,0.27877188,0.12029518,-0.57201385,-0.039548103,-0.48390564,-0.13676494,-0.007896464,0.09121022,-0.45125163,0.14592035,-0.0020013915,0.035619073,0.2913223,-0.49049553,0.1944227,0.016999474,0.055081937,-0.1659437,-0.36443168,0.061103888,-0.31376004,0.41811824,0.14440686,-0.1054598,0.54082835,0.16307156,0.15587515,-0.18011492,-0.16986156,0.6036143,0.316227,-0.5259514,0.12506324,-0.5312964,-0.42366415,0.19045718,-0.6793766,-0.25014746,-0.086362064,0.48501328,-0.3956982,0.090193816,-0.13420317,-0.37441733,-0.056351595,0.1783162,-0.06950591,0.20688172,-0.2776983,0.18027638,0.27402344,0.35867852,-0.2105944
K0dpanVQdHVOUWxEa1c2SEtadDUvUT09,0.4200563,-0.48765814,0.06949847,-0.15334557,0.021005329,-0.12159305,-0.0047409306,-0.09126466,0.31801435,-0.0890218,0.27605185,-0.4970128,0.3108721,0.5487947,-0.030900724,-0.18012007,-0.5175886,-0.02894005,0.13853756,0.08253459,0.105424255,0.28036568,-0.23811881,0.10244608,0.12904975,0.011145342,-0.29434064,0.10454111,-0.048719347,0.1599996,0.21206452,-0.5910973,0.1979391,-0.10980843,0.22555722,0.051288072,-0.023210216,-0.6865215,-0.037831917,0.40667725,-0.5072968,-0.17109333,-0.11218948,-0.28938913,-0.2747628,-0.06049987,-0.0032299734,0.07798967,0.22543603,-0.49216768,-0.04138098,-0.6130323,-0.20492586,-0.1289044,0.36920118,-0.71161187,0.1760647,0.29963204,0.06855405,0.54380983,-0.38142288,0.3228481,-0.3252242,0.045537252,0.0027584399,-0.33339268,-0.06405537,-0.13406777,0.08719989,0.023402132,-0.013986219,0.430827,-0.041022774,-0.1181161,-0.62008774,-0.24230649,0.62823,0.04638263,-0.34269026,0.16176431,-0.3554778,-0.44851625,-0.07678286,-0.5491902,-0.6004021,0.10195928,0.6855988,-0.39003623,0.25848174,-0.27074572,0.08369144,0.05705092,0.24123015,0.050144203,-0.24896231,-0.12370009,0.57745034,0.2885395,0.45501524,-0.2137735
