goodsno,url,상품명,카테고리,브랜드,가격,용량,주요사양,성분,전체 평점,5점,4점,3점,2점,1점,1_1피부,1_2피부,1_3피부,2_1피부,2_2피부,2_3피부,3_1피부,3_2피부,3_3피부,증정 여부
A000000006564,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000006564&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,우르오스 스킨로션 200ml,올인원,우르오스,"23,700",200ml,지복합성 피부를 위한 워터타입 스킨케어 [ 2 in 1 ],"정제수, 에탄올, 펜틸렌글라이콜, 글리세린, 베타인, 피이지-6, 피이지-32, 아데노신포스페이트, 소듐하이드록사이드, 소듐다이라우미도글루타미드라이신, 피피지-6-데실테트라데세스-30, 알진, 시트릭애씨드, 소듐하이알루로네이트, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 페녹시에탄올, 터펜틴, 리날룰",4.7,81,14,4,1,0,16,59,25,57,41,2,57,41,2,0.0
A000000006565,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000006565&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,우르오스 스킨밀크 200ml,올인원,우르오스,"23,700",200ml,중건성 피부를 위한 밀크타입 스킨케어 [ 2 in 1 ],"정제수, 글리세린, 하이드로제네이티드폴리(C6-12올레핀), 에탄올, 폴리글리세릴-10아이소스테아레이트, 아데노신포스페이트, 하이드록시프로필사이클로덱스트린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 부틸렌글라이콜, 글리세릴카프릴레이트, 폴리글리세릴-10스테아레이트, 소듐아이소스테아로일락테이트, 소듐락테이트, 소듐하이드록사이드, 클로브꽃추출물, 사철쑥꽃추출물, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 터펜틴, 리날룰, 리모넨",4.8,80,16,3,0,0,35,60,5,74,26,1,64,36,1,0.0
A000000137180,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137180&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[대용량] 라운드랩 1025 독도 토너 (본품500ml+100ml 추가 증정),스킨/토너,라운드랩,"27,000",[본품]라운드랩 1025 독도 토너 500ml+[증정품]라운드랩 1025 독도 토너 100ml,모든 피부용,"정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이",4.8,86,11,2,0,0,22,63,15,39,61,1,80,20,1,1.0
A000000184129,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184129&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,에스트라 아토베리어365 로션 150ml 기획 (+하이드로에센스 25ml+무기자차선크림10ml 증정)(2305),로션/에멀젼,에스트라,"24,800",150ml,모든 피부용,"정제수, 부틸렌글라이콜, 글리세린, 스쿠알란,펜타에리스리틸테트라이소스테아레이트, 사이클로펜타실록산, 폴리글리
세릴-3메칠글루코오스디스테아레이트, 부틸렌글라이콜 디카프릴레이트/디카프레이트, 카프릴릭/카프릭트리글리세라이드, 사이
클로헥사실록산, 스테아릭애씨드, 팔미틱애씨드, 글리세릴스테아레이트, 하이드록시에칠아크릴레이트/소듐아크릴로일디메칠타
우레이트코폴리머,하이드록시프로필비스팔미타마이드엠이에이, 폴리글리세릴-10스테아레이트, 디메치콘올,콜레스테롤, 하이
드록시프로필비스라우라마이드엠이에이, 베헤닐알코올, 피토스핑고신,글리세릴카프릴레이트, 카보머, 디소듐이디티에이, 에칠
헥실글리세린, 트로메타민, 소르비탄이소스테아레이트, 아라키딕애씨드, 미리스틱애씨드, 만니톨, 카나우바왁스추출물, 토코페롤,
아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카, 소목줄기가루, 올레익애씨드",4.8,85,12,3,0,0,46,49,5,70,30,0,73,27,0,1.0
A000000170266,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170266&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[단독기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정),스킨/토너,토리든,"15,700",[본품] 다이브인 토너 300ml [증정] 다이브인 토너 100ml,모든 피부 타입,"정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 알란토인, 판테놀, 쇠비름추출물, 트레할로오스, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(100ppm), 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 2,3-부탄다이올, 펜틸렌글라이콜, 말라카이트추출물, 다이소듐이디티에이, 에틸헥실글리세린",4.8,83,12,3,1,0,25,57,18,52,48,1,77,23,1,1.0
A000000183741,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183741&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[시카보다 4배*강한] 한율 어린쑥 수분진정 2종세트(토너150ml+플루이드125ml),스킨케어 세트,한율,"37,530","토너150ml, 플루이드125ml",모든피부,"[토너] 정제수, 부틸렌글라이콜, 베타인, 글리세린, 황해쑥잎수(18,944 ppm), 1,2-헥산다이올, 판테놀(5,000 ppm), 피피지-13-데실테트라데세스-24, 2,3-부탄다이올, 향료, 에틸헥실글리세린, 잔탄검, 다이소듐이디티에이, 프로판다이올, 레시틴, 락토바실러스발효물, 이눌린라우릴카바메이트, 황해쑥잎추출물(10 ppm), 토코페롤, 병풀꽃/잎/줄기추출물

[플루이드] 정제수, 프로판다이올, 글리세린, 메틸트라이메티콘, 황해쑥잎수(18,944 ppm), 1,2-헥산다이올, 피씨에이다이메티콘, 천궁수, 왜당귀뿌리수, 실리카, 판테놀(5,000 ppm), 부틸렌글라이콜, 폴리메틸실세스퀴옥세인, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-6카프릴레이트, 폴리글리세릴-4카프레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 잔탄검, 글리세릴카프릴레이트, 향료, 2,3-부탄다이올, 에틸헥실글리세린, 다이소듐이디티에이, 레시틴, 락토바실러스발효물, 이눌린라우릴카바메이트, 황해쑥잎추출물(10 ppm), 병풀꽃/잎/줄기추출물, 토코페롤",4.8,78,22,0,0,,,,,,,,,,,1.0
A000000164741,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164741&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[하트괄사증정] 바이오힐보 프로바이오덤 리프팅 크림 X 콜라겐 세럼 기획,스킨케어 세트,바이오힐보,"39,900",프로바이오덤 리프팅 크림 50mL + 타이트닝 콜라겐 세럼 30mL + 리프팅 괄사 마사저 1ea,모든 피부타입,"[세럼] 정제수, 글리세레스-26, 글리세린, 폴리글리세린-3, 부틸렌글라이콜, 1,2-헥산다이올, 네오펜틸글라이콜다이카프레이트, 나이아신아마이드, 트레할로오스, 하이드롤라이즈드콜라겐 (10,200ppm), 시어버터, 자일리틸글루코사이드, 락토바실러스발효물 (1,016.44ppm), 자일리톨, 동백나무꽃추출물, 바실러스발효물, 자일로오스, 리마콩씨추출물, 카프릴릭/카프릭트라이글리세라이드, 펜틸렌글라이콜, 프로판다이올, 판테놀, 트로메타민, 안하이드로자일리톨, 알란토인, 다이포타슘글리시리제이트, 에틸헥실글리세린, 아데노신, 글루코오스, 세라마이드엔피, 소듐파이테이트, 수크로오스, 팔미토일트라이펩타이드-5, 토코페롤, 카프릴로일살리실릭애씨드, 마이크로코쿠스용해물, 프룩토오스, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 세틸하이드록시에틸셀룰로오스, 루틴, 헥사펩타이드-2, 아세틸테트라펩타이드-5, 덱스트란, 트라이펩타이드-1, 팔미토일헥사펩타이드-12, 바이오틴, 아세틸헥사펩타이드-8, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 헥사펩타이드-9, 팔미토일펜타펩타이드-4, 카퍼트라이펩타이드-1, 베헤닐알코올, 카보머, 다이소듐이디티에이, 향료

[크림]정제수, 락토바실러스발효물, 다이프로필렌글라이콜, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드폴리(C6-14올레핀), 하이드로제네이티드폴리데센, 글리세릴스테아레이트, 1,2-헥산다이올, 하이드로제네이티드식물성오일, 메도우폼씨오일, 나이아신아마이드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 세테아릴알코올, 펜틸렌글라이콜, 호호바에스터, 수크로오스, 시어버터, 바실러스발효물, 한련초추출물, 인도멀구슬나무꽃추출물, 인도멀구슬나무잎추출물, 카카오씨추출물, 울금뿌리추출물, 홀리바질잎추출물, 자일로오스, 참산호말추출물, 드럼스틱씨오일, 리마콩씨추출물, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 올리브오일, 다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트, 폴리메틸실세스퀴옥세인, 폴리솔베이트60, 세테아릴올리베이트, 피이지-100스테아레이트, 솔비탄올리베이트, 다이메티콘, 카프릴릴글라이콜, 마이크로코쿠스용해물, 트로메타민, 토코페릴아세테이트, 에틸헥실글리세린, 아데노신, 다이포타슘글리시리제이트, 부틸렌글라이콜, 프룩토오스, 덱스트린, 세라마이드엔피, 하이드로제네이티드레시틴, 토코페롤, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 팔미토일트라이펩타이드-5, 세틸하이드록시에틸셀룰로오스, 루틴, 헥사펩타이드-2, 아세틸테트라펩타이드-5, 덱스트란, 트라이펩타이드-1, 팔미토일헥사펩타이드-12, 바이오틴, 아세틸헥사펩타이드-8, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일펜타펩타이드-4, 헥사펩타이드-9, 카퍼트라이펩타이드-1, 세테아레스-20, 콜레스테롤, 글라이코리피드, 레시틴, 올레익애씨드, 피이지-40하이드로제네이티드캐스터오일, 포타슘하이드록사이드, 베헤닐알코올, 카보머, 잔탄검, 다이소듐이디티에이, 향료",4.7,81,14,4,0,0,48,47,6,52,14,34,55,42,3,1.0
A000000183371,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183371&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[5월올영픽][1+1기획] 구달 맑은 어성초 진정 수분 토너 300ml 기획(+300ml 리필),스킨/토너,구달,"22,800",토너 300ml + 토너 300ml (리필),모든 피부,"정제수, 어성초추출물(=약모밀추출물, 20%), 메틸프로판다이올, 펜틸렌글라이콜, 글리세린, 아이리쉬모스추출물, 사탕수수추출물, 바질오일, 오렌지껍질오일, 라벤더오일, 흰버드나무껍질추출물, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 폴리글리세릴-10라우레이트, 에틸헥실글리세린, 소듐시트레이트, 시트릭애씨드, 토코페롤, 1,2-헥산다이올, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 잔탄검",4.8,81,14,4,0,0,21,63,16,26,68,6,74,26,0,1.0
A000000147968,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147968&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[선물 기획] 바이오힐보 프로바이오덤 리페어 스킨&에멀전 2종 기획 (크림 10mL+아이크림 10mL 증정),스킨케어 세트,바이오힐보,"34,010","■(본품)스킨소프너150+에멀전150, (증)크림10+아이10",■모든 피부 타입용,"■스킨
정제수, 부틸렌글라이콜, 글리세레스-26, 글리세린, 펜틸렌글라이콜, 에탄올, 나이아신아마이드, 피이지/피피지-17/6코폴리머, 락토바실러스발효물, 바실러스발효물, 클로렐라 불가리스추출물, 자일로오스, 리마콩씨추출물, 베타인, C12-14파레스-12, 판테놀, 카프릴릴글라이콜, 마이크로코쿠스용해물, 다이페닐다이메티콘, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트라이에틸헥사노인, 트로메타민, 아데노신, 하이드로제네이티드레시틴, 1,2-헥산다이올, 프룩토오스, 글루코오스, 소듐파이테이트, 바이오사카라이드검-1, 프룩토올리고사카라이드, 에틸헥실글리세린, 수크로오스, 세라마이드엔피, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 팔미토일트라이펩타이드-5, 세틸하이드록시에틸셀룰로오스, 루틴, 헥사펩타이드-2, 아세틸테트라펩타이드-5, 덱스트란, 트라이펩타이드-1, 팔미토일헥사펩타이드-12, 바이오틴, 아세틸헥사펩타이드-8, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 헥사펩타이드-9, 팔미토일펜타펩타이드-4, 카퍼트라이펩타이드-1, 다이소듐이디티에이, 향료

■에멀전
정제수, 글리세린, 부틸렌글라이콜, 하이드로제네이티드폴리(C6-14올레핀), 옥틸도데실미리스테이트, 카프릴릴메티콘, 나이아신아마이드, 1,2-헥산다이올, 클로렐라 불가리스추출물, 하이드로제네이티드식물성오일, 락토바실러스발효물, 바실러스발효물, 자일로오스, 리마콩씨추출물, 비스-다이글리세릴폴리아실아디페이트-2, 세틸에틸헥사노에이트, 펜틸렌글라이콜, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 글리세릴스테아레이트, 글루코오스, 비닐다이메티콘, 프룩토오스, 프룩토올리고사카라이드, 마이크로코쿠스용해물, 다이메티콘올, 팔미틱애씨드, 스테아릭애씨드, 트로메타민, 에틸헥실글리세린, 아데노신, 바이오사카라이드검-1, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 솔비탄아이소스테아레이트, 수크로오스, 세라마이드엔피, 하이드로제네이티드레시틴, 토코페롤, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 팔미토일트라이펩타이드-5, 세틸하이드록시에틸셀룰로오스, 루틴, 헥사펩타이드-2, 아세틸테트라펩타이드-5, 덱스트란, 트라이펩타이드-1, 팔미토일헥사펩타이드-12, 바이오틴, 아세틸헥사펩타이드-8, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 헥사펩타이드-9, 팔미토일펜타펩타이드-4, 카퍼트라이펩타이드-1, 세테아릴알코올, 카보머, 잔탄검, 다이소듐이디티에이, 향료

■아이
정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 나이아신아마이드, 1,2-헥산다이올, 세테아릴알코올, 펜틸렌글라이콜, 클로렐라 불가리스추출물, 하이드로제네이티드식물성오일, 카나우바왁스, 하이드롤라이즈드옥수수전분, 락토바실러스발효물, 바실러스발효물, 자일로오스, 리마콩씨추출물, 다이아이소스테아릴말레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 글루코오스, 실리카, 부틸렌글라이콜, 프룩토오스, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 프룩토올리고사카라이드, 판테놀, 스테아릴다이메티콘, 솔비탄아이소스테아레이트, 에틸헥실글리세린, 아데노신, 트라이소듐에틸렌다이아민다이석시네이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 수크로오스, 세라마이드엔피, 하이드로제네이티드레시틴, 락토바이오닉애씨드, 마이크로코쿠스용해물, 토코페롤, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 팔미토일트라이펩타이드-5, 세틸하이드록시에틸셀룰로오스, 루틴, 헥사펩타이드-2, 아세틸테트라펩타이드-5, 덱스트란, 트라이펩타이드-1, 팔미토일헥사펩타이드-12, 바이오틴, 아세틸헥사펩타이드-8, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 헥사펩타이드-9, 팔미토일펜타펩타이드-4, 카퍼트라이펩타이드-1, 잔탄검, 다이소듐이디티에이, 향료

■크림
정제수, 락토바실러스발효물, 다이프로필렌글라이콜, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드폴리(C6-14올레핀), 하이드로제네이티드폴리데센, 글리세릴스테아레이트, 1,2-헥산다이올, 하이드로제네이티드식물성오일, 메도우폼씨오일, 나이아신아마이드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 세테아릴알코올, 펜틸렌글라이콜, 호호바에스터, 수크로오스, 시어버터, 바실러스발효물, 한련초추출물, 인도멀구슬나무꽃추출물, 인도멀구슬나무잎추출물, 카카오씨추출물, 울금뿌리추출물, 홀리바질잎추출물, 자일로오스, 참산호말추출물, 드럼스틱씨오일, 리마콩씨추출물, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 올리브오일, 다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트, 폴리메틸실세스퀴옥세인, 폴리솔베이트60, 세테아릴올리베이트, 피이지-100스테아레이트, 솔비탄올리베이트, 다이메티콘, 카프릴릴글라이콜, 마이크로코쿠스용해물, 트로메타민, 토코페릴아세테이트, 에틸헥실글리세린, 아데노신, 다이포타슘글리시리제이트, 부틸렌글라이콜, 프룩토오스, 덱스트린, 세라마이드엔피, 하이드로제네이티드레시틴, 토코페롤, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 팔미토일트라이펩타이드-5, 세틸하이드록시에틸셀룰로오스, 루틴, 헥사펩타이드-2, 아세틸테트라펩타이드-5, 덱스트란, 트라이펩타이드-1, 팔미토일헥사펩타이드-12, 바이오틴, 아세틸헥사펩타이드-8, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일펜타펩타이드-4, 헥사펩타이드-9, 카퍼트라이펩타이드-1, 세테아레스-20, 콜레스테롤, 글라이코리피드, 레시틴, 올레익애씨드, 피이지-40하이드로제네이티드캐스터오일, 포타슘하이드록사이드, 베헤닐알코올, 카보머, 잔탄검, 다이소듐이디티에이, 향료",4.8,86,11,3,0,,,,,,,,,,,1.0
A000000151951,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000151951&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[증량] 더랩바이블랑두 저분자 히알루론산 토너(본품500ml+100ml 추가 증정),스킨/토너,더랩바이블랑두,"28,900",500ml(+100ml 증정),모든 피부용,"정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 소듐하이알루로네이트(2,500 ppm), 하이알루로닉애씨드(100 ppm), 동백나무잎추출물, 베타-글루칸, 다이소듐이디티에이, 알란토인, 접시꽃추출물, 토코페롤, 판테놀, 에틸헥실글리세린",4.8,86,11,2,0,0,27,59,14,58,42,1,81,19,1,1.0
