리뷰자,type1,type2,type3,type4,랭킹
eHNCNmFVY1ladXNQV21xcS9zT0J1QT09,지성,웜톤,모공,트러블,1792
ckN0NlJxTy9WU2IyMjZQWHQ3dWpzUT09,건성,웜톤,주름,탄력,0
U3Eyb2xHVytUcFVYajdSbkJVaUV3UT09,민감성,겨울쿨톤,각질,다크서클,0
T3VnTkYrTnFocnkzdktxVVg3VFJuQT09,복합성,웜톤,주름,탄력,0
ekdrWEZHc1dYb2ZJTEpDVXI3Sm1adz09,건성,쿨톤,각질,모공,0
U1NyRkRKbjFVc3dabzZBVE52Wm41dz09,지성,쿨톤,각질,모공,0
MzNYR2ltb1FtYzVEUjQybElYYmlBQT09,건성,쿨톤,다크서클,모공,1066
dGVyR1oyTTlEdnZvNWFqelhVRjBtdz09,-,-,,,0
OHVkeHUzVjVOV0tMVHA0eDNtZ1pHQT09,-,-,,,0
UVdKWC82dFF1QWszaDdMUEZUOVMxUT09,-,-,,,0
ZEJGODVmR3diUml4Q1l5Sm8wZTFuUT09,복합성,여름쿨톤,각질,다크서클,0
M0VIRnpQMnVFT3gxaTQ2K3lYcDdrZz09,민감성,-,민감성,,0
Q0NITWhaSFFQUlRVSnZVN3U3NWxxQT09,-,-,,,0
Z1M2b0g3dGszdDVqcWYzQVV2V3RoQT09,트러블성,-,,,0
cE5CSW9LT0hqNHQyeHFPZWlpY3U4dz09,-,-,,,0
dmJoSmV4VC82U3N6dk9qRzh6ODl5QT09,-,-,,,0
NnZoYkp1QkRMckR6K2F5UFVHaE11dz09,-,-,,,0
WHRFTjV5YUxxRlRQdW5WNXlSelliZz09,건성,웜톤,트러블,,0
bExqWTg4cXZ2VUFLNVAvb1o1dGc1Zz09,복합성,가을웜톤,모공,미백,0
Z0d5eWJlL1ZkOThHUTFGaTR1dVRmdz09,복합성,웜톤,각질,모공,0
bXcyMmtCMmhsdFRRcklUdFhHMTZ5Zz09,-,-,,,0
Z1lHT3FlWm5BTURuSjF3UnNtcmJiUT09,-,-,,,0
WUNBUEVVWDF3dXQrWGdFY0xuMWhzQT09,복합성,여름쿨톤,모공,민감성,0
YThReGlBM0w0VGtLU09USWFGMWY4UT09,민감성,가을웜톤,민감성,트러블,0
