,uid,pid,rate
0,0,2,3
1,1,2,5
2,2,2,5
3,3,2,5
4,4,45,5
5,4,2,5
6,4,35,5
7,4,2,5
8,5,2,3
9,6,88,5
10,7,2,5
11,8,2,5
12,9,2,5
13,9,2,5
14,10,2,5
15,10,2,5
16,10,88,5
17,10,88,5
18,11,2,5
19,11,2,5
20,12,10,4
21,13,2,5
22,13,13,5
23,13,13,5
24,14,2,5
25,15,2,5
26,16,2,5
27,16,93,5
28,16,93,5
29,17,2,5
30,17,2,5
31,18,2,4
32,19,2,5
33,20,2,5
34,21,2,4
35,21,41,4
36,22,41,4
37,22,2,5
38,22,41,4
39,23,2,5
40,24,2,5
41,24,2,5
42,25,2,5
43,25,31,5
44,26,2,5
45,27,2,5
46,28,2,5
47,28,2,5
48,29,2,2
49,29,45,2
50,29,2,1
51,29,45,2
52,30,2,5
53,31,150,5
54,31,267,4
55,32,2,5
56,33,2,5
57,34,2,5
58,34,155,5
59,35,2,5
60,35,2,5
61,36,2,5
62,37,88,5
63,38,160,3
64,39,430,4
65,39,421,4
66,40,53,5
67,40,40,5
68,41,13,5
69,42,2,4
70,42,2,5
71,43,2,5
72,43,2,5
73,44,2,4
74,44,2,5
75,44,41,4
76,45,2,5
77,45,2,5
78,45,2,4
79,46,2,4
80,47,88,5
81,48,150,5
82,49,2,5
83,50,242,5
84,50,2,5
85,50,2,5
86,51,2,5
87,52,2,5
88,53,2,4
89,53,41,5
90,54,2,5
91,54,2,5
92,55,2,5
93,55,2,5
94,56,178,5
95,56,2,5
96,57,73,5
97,58,2,5
98,58,2,5
99,59,2,5
100,59,2,5
101,60,97,5
102,61,0,5
103,62,0,5
104,62,0,5
105,63,0,5
106,63,36,5
107,64,0,5
108,64,0,5
109,65,29,5
110,65,0,5
111,66,0,5
112,66,0,5
113,67,0,5
114,68,0,5
115,69,0,5
116,70,0,5
117,70,0,5
118,71,0,5
119,72,0,5
120,72,0,5
121,73,0,5
122,74,0,5
123,74,8,5
124,74,0,5
125,74,8,5
126,75,0,5
127,76,0,5
128,77,0,5
129,78,0,5
130,78,97,5
131,79,56,5
132,79,0,5
133,80,0,5
134,80,35,5
135,81,0,5
136,82,0,5
137,83,0,5
138,83,141,5
139,84,0,5
140,85,0,5
141,86,0,5
142,86,0,5
143,87,0,5
144,88,0,5
145,88,0,5
146,89,0,5
147,90,0,5
148,91,0,5
149,91,36,5
150,91,147,5
151,91,36,4
152,91,240,4
153,91,254,5
154,92,0,5
155,93,0,5
156,94,0,5
157,95,150,5
158,96,0,5
159,97,0,5
160,98,0,5
161,99,55,5
162,99,180,5
163,99,0,5
164,100,0,5
165,101,26,4
166,101,26,4
167,102,0,5
168,103,62,5
169,103,38,4
170,104,218,3
171,104,0,5
172,105,60,5
173,106,0,5
174,107,0,4
175,108,0,5
176,108,72,5
177,109,248,5
178,109,382,5
179,110,0,5
180,111,23,5
181,111,23,5
182,112,30,4
183,113,1,4
184,113,0,5
185,113,446,5
186,114,0,5
187,115,147,5
188,116,4,5
189,116,0,5
190,117,0,5
191,117,0,5
192,118,36,5
193,118,36,5
194,119,0,5
195,120,0,5
196,121,36,5
197,121,0,5
198,122,414,5
199,122,0,5
200,123,36,5
201,123,0,5
202,123,1,5
203,124,287,5
204,125,0,4
205,126,0,5
206,127,150,5
207,127,1,5
208,127,4,5
209,128,151,5
210,128,1,5
211,129,1,5
212,130,1,5
213,131,1,5
214,132,1,5
215,132,71,5
216,133,1,5
217,134,1,4
218,135,1,5
219,135,1,4
220,135,1,5
221,136,1,5
222,136,1,5
223,137,1,4
224,138,1,4
225,139,1,5
226,139,1,5
227,140,1,5
228,141,1,5
229,142,1,5
230,143,1,5
231,143,4,5
232,144,1,5
233,145,1,5
234,146,1,5
235,147,1,5
236,148,1,5
237,148,247,5
238,148,1,5
239,149,1,5
240,150,1,5
241,151,1,5
242,152,1,5
243,153,71,5
244,153,1,5
245,154,125,5
246,155,1,5
247,155,37,5
248,155,1,5
249,155,37,5
250,156,1,5
251,156,36,5
252,157,1,5
253,158,1,4
254,159,1,5
255,160,1,5
256,161,1,5
257,162,1,5
258,163,1,5
259,164,432,4
260,164,421,3
261,165,1,5
262,166,1,5
263,167,1,5
264,168,1,5
265,168,1,5
266,168,1,5
267,169,123,5
268,169,1,5
269,170,72,5
270,171,232,5
271,171,10,5
272,171,10,5
273,171,232,5
274,172,1,5
275,172,233,4
276,173,36,5
277,173,107,5
278,174,30,5
279,175,1,5
280,176,1,5
281,177,1,5
282,178,42,5
283,179,133,5
284,180,1,4
285,181,1,5
286,182,155,5
287,182,122,5
288,183,1,5
289,184,1,5
290,185,181,5
291,185,181,5
292,186,43,5
293,186,1,5
294,187,215,4
295,187,1,5
296,188,1,5
297,189,200,5
298,190,30,5
299,191,175,5
300,192,405,4
301,193,30,5
302,193,30,5
303,194,430,5
304,195,30,4
305,196,30,4
306,196,30,4
307,197,178,5
308,197,167,5
309,197,167,5
310,198,30,5
311,199,30,5
312,200,30,5
313,201,30,5
314,202,30,5
315,202,125,5
316,203,178,5
317,204,30,5
318,205,30,5
319,206,63,5
320,206,30,1
321,207,30,5
322,208,30,5
323,209,37,5
324,209,70,5
325,210,4,5
326,210,151,5
327,211,4,5
328,211,4,5
329,212,128,5
330,212,4,5
331,212,88,5
332,213,4,5
333,214,151,5
334,214,4,5
335,215,4,5
336,215,4,5
337,216,4,5
338,216,4,5
339,216,151,5
340,217,4,5
341,218,4,5
342,218,4,5
343,219,61,5
344,219,256,5
345,220,4,5
346,221,4,3
347,221,4,4
348,221,46,4
349,221,95,3
350,222,97,5
351,222,4,5
352,223,4,5
353,224,34,5
354,225,4,5
355,226,37,5
356,226,4,5
357,226,61,5
358,226,37,5
359,226,105,5
360,226,105,5
361,226,428,4
362,227,4,5
363,228,4,5
364,229,4,5
365,230,4,5
366,231,4,5
367,231,4,5
368,231,4,5
369,231,4,5
370,231,4,5
371,231,4,5
372,232,4,5
373,233,7,5
374,233,4,5
375,234,4,5
376,234,4,5
377,235,4,5
378,236,204,5
379,237,4,5
380,238,4,4
381,239,4,5
382,240,4,5
383,240,4,5
384,241,217,5
385,241,4,5
386,241,4,5
387,242,13,5
388,242,4,5
389,243,4,5
390,243,4,5
391,244,4,5
392,245,4,5
393,246,4,5
394,247,4,5
395,248,4,5
396,249,30,5
397,249,4,5
398,250,4,5
399,251,4,3
400,252,13,5
401,252,342,5
402,252,4,5
403,252,4,5
404,252,145,5
405,253,4,5
406,254,4,5
407,254,4,5
408,255,223,5
409,255,4,5
410,255,4,5
411,256,5,5
412,257,5,5
413,258,5,5
414,259,5,5
415,260,5,5
416,261,5,5
417,262,5,5
418,262,72,5
419,263,5,5
420,263,37,5
421,264,5,5
422,265,5,5
423,265,20,5
424,266,5,5
425,267,5,4
426,268,5,5
427,268,51,5
428,269,5,4
429,270,215,3
430,270,95,5
431,270,5,4
432,270,215,4
433,270,95,5
434,271,150,5
435,272,46,4
436,273,8,5
437,274,36,4
438,274,36,4
439,275,346,5
440,275,346,5
441,276,247,5
442,277,27,5
443,278,421,4
444,279,8,5
445,280,267,5
446,281,293,5
447,281,294,4
448,282,6,5
449,283,6,5
450,284,6,5
451,285,6,5
452,285,71,4
453,285,13,5
454,286,122,3
455,286,63,4
456,286,63,4
457,287,347,5
458,287,347,5
459,288,6,5
460,289,151,5
461,290,132,5
462,291,178,5
463,291,7,5
464,292,58,5
465,293,440,5
466,293,7,5
467,294,7,4
468,295,7,5
469,296,7,5
470,297,7,4
471,298,7,4
472,299,7,5
473,300,7,5
474,301,7,5
475,302,7,4
476,303,7,5
477,304,7,3
478,305,40,5
479,305,79,5
480,306,60,5
481,307,95,5
482,308,27,4
483,309,58,5
484,309,141,5
485,310,112,5
486,311,60,5
487,312,150,5
488,313,247,4
489,313,147,5
490,313,347,5
491,314,287,5
492,315,14,5
493,315,8,5
494,315,421,5
495,316,150,5
496,316,8,5
497,317,8,5
498,318,8,4
499,319,27,5
500,320,8,4
501,321,279,2
502,322,8,4
503,323,73,5
504,323,8,5
505,324,8,5
506,324,56,5
507,324,446,5
508,325,8,5
509,326,8,5
510,327,8,5
511,327,6,5
512,328,6,5
513,329,8,5
514,329,124,5
515,330,80,5
516,330,8,5
517,331,8,4
518,332,8,5
519,332,83,5
520,332,73,5
521,333,8,5
522,334,8,5
523,335,15,5
524,335,8,5
525,335,254,5
526,336,8,5
527,337,8,3
528,337,12,5
529,338,8,5
530,338,112,5
531,338,18,5
532,338,8,5
533,338,124,5
534,339,8,5
535,339,122,5
536,340,8,5
537,341,73,5
538,342,69,5
539,343,421,5
540,344,8,4
541,345,8,5
542,346,8,5
543,347,8,4
544,348,8,5
545,348,27,5
546,349,8,5
547,349,327,5
548,350,8,5
549,350,294,5
550,350,74,5
551,351,8,5
552,351,8,5
553,352,60,5
554,353,454,5
555,353,154,5
556,354,44,5
557,355,8,5
558,356,8,4
559,357,8,5
560,357,8,5
561,358,199,5
562,359,27,5
563,360,8,5
564,361,76,5
565,361,8,5
566,362,8,4
567,363,8,3
568,364,8,5
569,364,8,5
570,365,8,5
571,366,8,5
572,366,8,5
573,366,382,5
574,367,105,5
575,368,29,5
576,368,79,5
577,369,42,5
578,370,36,5
579,371,223,4
580,372,41,5
581,373,118,5
582,374,175,5
583,375,13,5
584,376,62,5
585,377,150,5
586,377,421,5
587,377,13,5
588,378,10,4
589,379,10,5
590,380,10,4
591,380,39,5
592,380,42,5
593,381,10,5
594,381,164,5
595,381,440,5
596,382,88,5
597,382,440,5
598,382,440,5
599,382,88,5
600,383,10,5
601,384,226,5
602,384,10,5
603,385,98,5
604,385,98,5
605,386,97,3
606,386,10,3
607,387,120,4
608,388,440,5
609,389,10,5
610,390,232,5
611,390,10,5
612,390,181,5
613,391,11,5
614,391,11,5
615,392,28,5
616,392,40,5
617,392,20,5
618,393,11,4
619,394,11,5
620,395,181,3
621,396,87,5
622,397,11,5
623,398,38,5
624,398,38,5
625,399,40,5
626,400,60,5
627,401,42,5
628,402,11,4
629,403,201,5
630,404,247,4
631,405,41,5
632,405,12,5
633,405,12,5
634,405,41,5
635,406,12,5
636,407,12,5
637,407,12,5
638,408,12,5
639,408,45,5
640,408,88,5
641,408,2,5
642,408,88,5
643,409,12,5
644,410,12,4
645,411,12,5
646,412,12,5
647,413,12,5
648,414,12,5
649,414,145,5
650,415,12,5
651,415,88,5
652,416,12,5
653,417,12,5
654,417,414,5
655,417,414,5
656,418,12,5
657,418,41,5
658,418,12,5
659,419,12,5
660,420,12,5
661,421,19,5
662,422,12,5
663,422,12,5
664,423,12,5
665,423,12,5
666,424,12,5
667,425,58,5
668,425,12,5
669,425,58,5
670,425,12,5
671,426,12,4
672,426,12,5
673,427,12,5
674,428,12,5
675,429,12,5
676,430,285,5
677,430,119,5
678,430,12,5
679,430,119,5
680,430,285,5
681,431,19,5
682,431,181,5
683,431,12,5
684,431,181,5
685,432,254,5
686,432,254,5
687,432,2,5
688,433,12,3
689,434,12,5
690,435,178,5
691,435,12,5
692,436,294,5
693,436,12,5
694,436,45,5
695,437,430,5
696,438,13,5
697,439,13,5
698,440,13,5
699,441,13,4
700,441,250,5
701,442,430,5
702,443,13,5
703,444,13,5
704,445,13,5
705,446,13,5
706,447,13,5
707,447,13,5
708,448,13,5
709,449,13,4
710,449,13,5
711,450,13,5
712,451,13,5
713,452,13,5
714,452,13,5
715,453,13,4
716,454,13,4
717,454,183,5
718,455,13,5
719,455,45,5
720,455,2,5
721,456,13,5
722,457,13,5
723,457,13,5
724,458,13,5
725,458,13,5
726,459,13,5
727,460,13,5
728,460,116,5
729,461,13,5
730,462,13,5
731,463,13,4
732,464,13,5
733,465,13,5
734,465,13,5
735,466,13,5
736,467,13,5
737,468,13,5
738,468,43,4
739,468,101,1
740,469,13,5
741,469,181,5
742,470,13,5
743,471,13,5
744,471,13,5
745,472,13,5
746,473,13,5
747,473,13,5
748,474,13,5
749,475,13,5
750,476,45,5
751,476,13,5
752,477,13,5
753,477,13,5
754,477,8,5
755,478,13,3
756,479,13,5
757,480,13,5
758,480,41,5
759,481,357,5
760,481,41,5
761,481,13,5
762,482,13,5
763,482,13,5
764,483,13,5
765,484,13,5
766,484,13,5
767,484,88,5
768,485,13,5
769,486,13,5
770,487,13,5
771,488,13,4
772,488,13,4
773,489,13,1
774,490,13,5
775,491,13,5
776,491,56,5
777,492,13,5
778,493,13,5
779,494,14,5
780,494,14,5
781,495,14,5
782,496,14,5
783,496,329,5
784,497,14,5
785,498,14,5
786,498,14,5
787,499,14,5
788,500,14,5
789,500,14,5
790,500,14,5
791,501,14,5
792,502,14,5
793,502,14,5
794,503,14,5
795,503,14,5
796,503,14,5
797,504,14,5
798,504,269,5
799,505,14,4
800,506,14,5
801,506,133,5
802,507,14,5
803,507,321,5
804,508,14,5
805,509,14,5
806,509,14,5
807,510,14,5
808,510,14,5
809,511,81,4
810,511,175,4
811,512,14,3
812,513,14,5
813,513,14,5
814,514,14,5
815,514,14,5
816,514,14,5
